"full_name","neo","pha","sats","diameter","GM","BV","UB","IR","per_y","pdes","name"
"  5263 Arrius (1991 GY9)",N,N,0,25.615,,,,,5.71,5263,Arrius
"  5295 Masayo (1991 CE)",N,N,0,21.045,,,,,5.58,5295,Masayo
"  5301 Novobranets (1974 SD3)",N,N,0,20.970,,,,,6.18,5301,Novobranets
"  5316 Filatov (1982 UB7)",N,N,0,45.693,,,,,5.62,5316,Filatov
"  5336 Kley (1991 JE1)",N,N,0,25.260,,,,,5.5,5336,Kley
"  5337 Aoki (1991 LD)",N,N,0,30.782,,,,,5.72,5337,Aoki
"  5360 Rozhdestvenskij (1975 VD9)",N,N,0,28.062,,,,,5.83,5360,Rozhdestvenskij
"  5361 Goncharov (1976 YC2)",N,N,0,23.522,,,,,5.54,5361,Goncharov
"  5362 Johnyoung (1978 CH)",N,N,0,21.882,,,,,6.23,5362,Johnyoung
"  5368 Vitagliano (1984 SW5)",N,N,0,34.807,,,,,7.91,5368,Vitagliano
"  5374 Hokutosei (1989 AM1)",N,N,0,38.657,,,,,5.65,5374,Hokutosei
"  5435 Kameoka (1990 BS1)",N,N,0,26.301,,,,,5.6,5435,Kameoka
"  5438 Lorre (1990 QJ)",N,N,0,28.072,,,,,4.56,5438,Lorre
"  5439 Couturier (1990 RW)",N,N,0,22.099,,,,,7.8,5439,Couturier
"  5450 Sokrates (2780 P-L)",N,N,0,20.526,,,,,4.72,5450,Sokrates
"  5457 Queen's (1980 TW5)",N,N,0,20.553,,,,,5.4,5457,Queen's
"  5461 Autumn (1983 HB1)",N,N,0,21.485,,,,,5.6,5461,Autumn
"  5468 Hamatonbetsu (1988 BK)",N,N,0,23.936,,,,,4.87,5468,Hamatonbetsu
"  5495 Rumyantsev (1972 RY3)",N,N,0,25.518,,,,,6.33,5495,Rumyantsev
"  5505 Rundetaarn (1986 VD1)",N,N,0,22.042,,,,,4.87,5505,Rundetaarn
"  5528 (1992 AJ)",N,N,0,21.001,,,,,5.85,5528,
"  5567 Durisen (1953 FK1)",N,N,0,36.475,,,,,5.05,5567,Durisen
"  5572 Bliskunov (1978 SS2)",N,N,0,20.015,,,,,5.52,5572,Bliskunov
"  5576 Albanese (1986 UM1)",N,N,0,24.332,,,,,4.58,5576,Albanese
"  5592 Oshima (1990 VB4)",N,N,0,22.657,,,,,5.66,5592,Oshima
"  5594 Jimmiller (1991 NK1)",N,N,0,25.856,,,,,5.63,5594,Jimmiller
"  5603 Rausudake (1992 CE)",N,N,0,45.677,,,,,7.97,5603,Rausudake
"  5651 Traversa (1991 CA2)",N,N,0,26.88,,,,,5.56,5651,Traversa
"  5661 Hildebrand (1977 PO1)",N,N,0,34.37,,,,,7.88,5661,Hildebrand
"  5670 Rosstaylor (1985 VF2)",N,N,0,29.619,,,,,5.66,5670,Rosstaylor
"  5704 Schumacher (1950 DE)",N,N,0,23.597,,,,,5.75,5704,Schumacher
"  5711 Eneev (1978 SO4)",N,N,0,38.81,,,,,7.81,5711,Eneev
"  5733 (1989 AQ)",N,N,0,20.670,,,,,5.76,5733,
"  5757 Ticha (1967 JN)",N,N,0,20.931,,,,,5.05,5757,Ticha
"  5771 Somerville (1987 ST1)",N,N,0,28.306,,,,,5.57,5771,Somerville
"  5780 Lafontaine (1990 EJ2)",N,N,0,22.593,,,,,6.13,5780,Lafontaine
"  5832 Martaprincipe (1991 LE1)",N,N,0,23.787,,,,,4.25,5832,Martaprincipe
"  5833 Peterson (1991 PQ)",N,N,0,27.077,,,,,6.52,5833,Peterson
"  5839 GOI (1974 SJ3)",N,N,0,24.675,,,,,4.58,5839,GOI
"  5849 Bhanji (1990 HF1)",N,N,0,28.39,,,,,5.67,5849,Bhanji
"  5852 Nanette (1991 HO)",N,N,0,23.738,,,,,4.53,5852,Nanette
"  5883 Josephblack (1993 VM5)",N,N,0,21.092,,,,,5.66,5883,Josephblack
"  5889 Mickiewicz (1979 FA3)",N,N,0,26.414,,,,,5.32,5889,Mickiewicz
"  5914 Kathywhaler (1990 WK)",N,N,0,38.097,,,,,6.71,5914,Kathywhaler
"  5919 Patrickmartin (1991 PW12)",N,N,0,20.45,,,,,5.71,5919,Patrickmartin
"  5922 Shouichi (1992 UV)",N,N,0,29.417,,,,,5.2,5922,Shouichi
"  5928 Pindarus (1973 SK1)",N,N,0,30.402,,,,,7.91,5928,Pindarus
"  5931 Zhvanetskij (1976 GK3)",N,N,0,20.927,,,,,5.66,5931,Zhvanetskij
"  6038 (1989 EQ)",N,N,0,22.248,,,,,5.32,6038,
"  6039 Parmenides (1989 RS)",N,N,0,22.030,,,,,6.31,6039,Parmenides
"  6052 Junichi (1992 CE1)",N,N,0,24.771,,,,,5.84,6052,Junichi
"  6057 Robbia (5182 T-3)",N,N,0,29.368,,,,,6.06,6057,Robbia
"  6079 Gerokurat (1981 DG3)",N,N,0,21.964,,,,,5.75,6079,Gerokurat
"  6103 (1993 HV)",N,N,0,28.761,,,,,6.35,6103,
"  6137 Johnfletcher (1991 BY)",N,N,0,30.720,,,,,5.78,6137,Johnfletcher
"  6174 Polybius (1983 TR2)",N,N,0,21.008,,,,,5.34,6174,Polybius
"  6222 (1980 PB3)",N,N,0,27.451,,,,,5.82,6222,
"  6237 Chikushi (1989 CV)",N,N,0,37.4,,,,,7.78,6237,Chikushi
"  6338 Isaosato (1992 UO4)",N,N,0,23.065,,,,,5.64,6338,Isaosato
"  6343 (1993 VK)",N,N,0,20.564,,,,,5.64,6343,
"  6349 Acapulco (1995 CN1)",N,N,0,20.429,,,,,4.36,6349,Acapulco
"  6350 Schluter (3526 P-L)",N,N,0,21.930,,,,,5.51,6350,Schluter
"  6355 Univermoscow (1969 TX5)",N,N,0,28.38,,,,,5.73,6355,Univermoscow
"  6359 Dubinin (1977 AZ1)",N,N,0,31.902,,,,,5.74,6359,Dubinin
"  6362 Tunis (1979 KO)",N,N,0,22.678,,,,,5.71,6362,Tunis
"  6371 Heinlein (1985 GS)",N,N,0,20.586,,,,,5.37,6371,Heinlein
"  6372 Walker (1985 JW1)",N,N,0,42.129,,,,,5.68,6372,Walker
"  6392 Takashimizuno (1990 HR)",N,N,0,25.221,,,,,5.77,6392,Takashimizuno
"  6432 Temirkanov (1975 TR2)",N,N,0,21.168,,,,,5.41,6432,Temirkanov
"  6462 Myougi (1994 AF2)",N,N,0,21.465,,,,,5.74,6462,Myougi
"  6475 Refugium (1987 SZ6)",N,N,0,29.642,,,,,5.58,6475,Refugium
"  6546 Kaye (1987 DY4)",N,N,0,21.624,,,,,5.79,6546,Kaye
"  6570 Tomohiro (1994 JO)",N,N,0,23.041,,,,,5.55,6570,Tomohiro
"  6574 Gvishiani (1976 QE1)",N,N,0,25.393,,,,,6.27,6574,Gvishiani
"  6619 Kolya (1973 SS4)",N,N,0,29.519,,,,,5.65,6619,Kolya
"  6720 Gifu (1990 VP2)",N,N,0,21.191,,,,,5.44,6720,Gifu
"  6724 (1991 CX5)",N,N,0,20.506,,,,,5.34,6724,
"  6785 (1990 VA7)",N,N,0,27.930,,,,,5.7,6785,
"  6794 Masuisakura (1992 DK)",N,N,0,26.82,,,,,5.42,6794,Masuisakura
"  6850 (1981 QT3)",N,N,0,22.140,,,,,5.58,6850,
"  6862 Virgiliomarcon (1991 GL)",N,N,0,22.747,,,,,5.65,6862,Virgiliomarcon
"  6869 Funada (1992 JP)",N,N,0,23.388,,,,,5.7,6869,Funada
"  6924 Fukui (1993 TP)",N,N,0,29.616,,,,,6.23,6924,Fukui
"  6925 Susumu (1993 UW2)",N,N,0,22.860,,,,,4.77,6925,Susumu
"  6983 Komatsusakyo (1993 YC)",N,N,0,26.889,,,,,5.77,6983,Komatsusakyo
"  6984 Lewiscarroll (1994 AO)",N,N,0,48.053,,,,,7.94,6984,Lewiscarroll
"  7027 Toshihanda (1993 XT)",N,N,0,23.833,,,,,7.95,7027,Toshihanda
"  7102 Neilbone (1936 NB)",N,N,0,21.426,,,,,5.45,7102,Neilbone
"  7131 Longtom (1992 YL)",N,N,0,29.896,,,,,5.66,7131,Longtom
"  7142 Spinoza (1994 PC19)",N,N,0,20.287,,,,,5.64,7142,Spinoza
"  7167 Laupheim (1985 TD3)",N,N,0,23.229,,,,,5.52,7167,Laupheim
"  7174 Semois (1988 SQ)",N,N,0,25.526,,,,,7.99,7174,Semois
"  7215 Gerhard (1977 FS)",N,N,0,24.354,,,,,5.75,7215,Gerhard
"  7217 Dacke (1979 QX3)",N,N,0,24.418,,,,,5.77,7217,Dacke
"  7253 Nara (1993 CL)",N,N,0,22.369,,,,,5.67,7253,Nara
"  7284 (1989 VW)",N,N,0,23.411,,,,,7.95,7284,
"  7286 (1990 QZ4)",N,N,0,21.561,,,,,5.54,7286,
"  7305 Ossakajusto (1994 CX1)",N,N,0,23.779,,,,,4.55,7305,Ossakajusto
"  7331 Balindblad (1985 TV)",N,N,0,22.407,,,,,5.68,7331,Balindblad
"  7366 Agata (1996 UY)",N,N,0,24.046,,,,,5.59,7366,Agata
"  7394 Xanthomalitia (1985 QX4)",N,N,0,32.471,,,,,7.77,7394,Xanthomalitia
"  7458 (1984 DE1)",N,N,0,24.718,,,,,7.2,7458,
"  7466 (1989 VC2)",N,N,0,23.913,,,,,6.13,7466,
"  7496 Miroslavholub (1995 WN6)",N,N,0,21.449,,,,,5.46,7496,Miroslavholub
"  7501 Farra (1996 VD3)",N,N,0,20.013,,,,,6.07,7501,Farra
"  7536 Fahrenheit (1995 WB7)",N,N,0,24.053,,,,,4.82,7536,Fahrenheit
"  7574 (1989 WO1)",N,N,0,23.774,,,,,6.38,7574,
"  7588 (1992 FJ1)",N,N,0,37.034,,,,,5.78,7588,
"  7605 Cindygraber (1995 SR1)",N,N,0,38.463,,,,,5.61,7605,Cindygraber
"  7611 Hashitatsu (1996 BW1)",N,N,0,23.740,,,,,5.15,7611,Hashitatsu
"  7612 (1996 CN2)",N,N,0,23.056,,,,,5.64,7612,
"  7635 Carolinesmith (1983 VH1)",N,N,0,24.186,,,,,5.42,7635,Carolinesmith
"  7895 Kaseda (1995 DK1)",N,N,0,28.51,,,,,5.59,7895,Kaseda
"  7950 Berezov (1992 SS26)",N,N,0,23.803,,,,,5.47,7950,Berezov
"  7965 Katsuhiko (1996 BD1)",N,N,0,20.684,,,,,3.81,7965,Katsuhiko
"  7999 Nesvorny (1986 RA3)",N,N,0,25.143,,,,,5.33,7999,Nesvorny
"  8027 Robertrushworth (1991 PB12)",N,N,0,20.111,,,,,5.71,8027,Robertrushworth
"  8030 Williamknight (1991 SK)",N,N,0,20.579,,,,,5.82,8030,Williamknight
"  8066 Poldimeri (1980 PB2)",N,N,0,20.473,,,,,5.69,8066,Poldimeri
"  8067 Helfenstein (1980 RU)",N,N,0,23,,,,,4.14,8067,Helfenstein
"  8086 Peterthomas (1989 RB6)",N,N,0,25.629,,,,,7.84,8086,Peterthomas
"  8130 Seeberg (1976 DJ1)",N,N,0,23.617,,,,,8.01,8130,Seeberg
"  8174 (1991 SL2)",N,N,0,22.708,,,,,5.66,8174,
"  8188 Okegaya (1992 YE3)",N,N,0,20.453,,,,,5.6,8188,Okegaya
"  8340 Mumma (1985 TS1)",N,N,0,20.198,,,,,5.12,8340,Mumma
"  8376 (1992 OZ9)",N,N,0,27.689,,,,,7.95,8376,
"  8478 (1987 DO6)",N,N,0,23.802,,,,,5.36,8478,
"  8550 Hesiodos (1994 PV24)",N,N,0,24.725,,,,,7.84,8550,Hesiodos
"  8721 AMOS (1996 AO3)",N,N,0,49.91,,,,,7.65,8721,AMOS
"  8866 Tanegashima (1992 BR)",N,N,0,21.589,,,,,5.5,8866,Tanegashima
"  8889 Mockturtle (1994 OC)",N,N,0,22.773,,,,,5.3,8889,Mockturtle
"  8915 Sawaishujiro (1995 YK3)",N,N,0,30.135,,,,,7.78,8915,Sawaishujiro
"  8917 Tianjindaxue (1996 EU2)",N,N,0,37.122,,,,,6.29,8917,Tianjindaxue
"  9043 (1991 EJ4)",N,N,0,23.892,,,,,5.37,9043,
"  9072 (1993 RX3)",N,N,0,24.454,,,,,5.73,9072,
"  9141 Kapur (5174 T-3)",N,N,0,21.078,,,,,5.62,9141,Kapur
"  9228 Nakahiroshi (1996 CG1)",N,N,0,21.676,,,,,5.41,9228,Nakahiroshi
"  9247 (1998 MO19)",N,N,0,21.518,,,,,5.49,9247,
"  9338 (1991 FL4)",N,N,0,22.697,,,,,5.52,9338,
"  9402 (1994 UN1)",N,N,0,20.436,,,,,6.12,9402,
"  9661 Hohmann (1996 FU13)",N,N,0,27.664,,,,,7.82,9661,Hohmann
"  9714 Piazzismyth (1975 LF1)",N,N,0,21.717,,,,,5.49,9714,Piazzismyth
"  9829 Murillo (1973 SJ1)",N,N,0,25.941,,,,,7.86,9829,Murillo
"  9936 Al-Biruni (1986 PN4)",N,N,0,24.187,,,,,5.4,9936,Al-Biruni
"  9970 (1992 ST1)",N,N,0,20.035,,,,,4.66,9970,
" 10007 Malytheatre (1976 YF3)",N,N,0,25.855,,,,,5.57,10007,Malytheatre
" 10143 Kamogawa (1994 AP1)",N,N,0,22.314,,,,,5.18,10143,Kamogawa
" 10259 Osipovyurij (1972 HL)",N,N,0,21.518,,,,,5.47,10259,Osipovyurij
" 10291 (1985 UT)",N,N,0,22.098,,,,,5.15,10291,
" 10314 (1990 RF)",N,N,0,21.783,,,,,5.77,10314,
" 10388 Zhuguangya (1996 YH3)",N,N,0,21.698,,,,,5.76,10388,Zhuguangya
" 10422 (1999 AN22)",N,N,0,20.874,,,,,4.83,10422,
" 10465 Olkin (1980 WE5)",N,N,0,20.606,,,,,5.52,10465,Olkin
" 10583 Kanetugu (1995 WC4)",N,N,0,20.792,,,,,5.48,10583,Kanetugu
" 10608 Mameta (1996 VB9)",N,N,0,25.184,,,,,7.99,10608,Mameta
" 10610 (1996 XR1)",N,N,0,23.153,,,,,7.89,10610,
" 10672 Kostyukova (1978 QE)",N,N,0,22.209,,,,,5.28,10672,Kostyukova
" 10766 (1990 UB1)",N,N,0,21.495,,,,,5.57,10766,
" 10840 (1994 LR)",N,N,0,23.704,,,,,5.41,10840,
" 10864 Yamagatashi (1995 QS3)",N,N,0,20.641,,,,,5.64,10864,Yamagatashi
" 10889 (1997 AO1)",N,N,0,33.20,,,,,7.79,10889,
" 10938 Lorenzalevy (1998 SW60)",N,N,0,24.392,,,,,5.78,10938,Lorenzalevy
" 11004 Stenmark (1980 FJ1)",N,N,0,23.041,,,,,5.77,11004,Stenmark
" 11221 (1999 JO26)",N,N,0,21.635,,,,,5.77,11221,
" 11388 (1998 VU4)",N,N,0,24.602,,,,,7.81,11388,
" 11536 (1992 FZ)",N,N,0,20.235,,,,,5.49,11536,
" 11542 Solikamsk (1992 SU21)",N,N,0,29.686,,,,,7.85,11542,Solikamsk
" 11569 Virgilsmith (1993 KB2)",N,N,0,23.923,,,,,5.45,11569,Virgilsmith
" 11875 Rhone (1989 YG5)",N,N,0,22.222,,,,,5.62,11875,Rhone
" 11911 Angel (1992 LF)",N,N,0,27.233,,,,,5.72,11911,Angel
" 12003 Hideosugai (1996 FM5)",N,N,0,22.751,,,,,6.18,12003,Hideosugai
" 12115 Robertgrimm (1998 SD2)",N,N,0,20.254,,,,,5.83,12115,Robertgrimm
" 12214 Miroshnikov (1981 RF2)",N,N,0,22.418,,,,,5.71,12214,Miroshnikov
" 12235 Imranakperov (1986 RB12)",N,N,0,25.452,,,,,5.73,12235,Imranakperov
" 12365 Yoshitoki (1993 YD)",N,N,0,27.53,,,,,5.65,12365,Yoshitoki
" 12559 (1998 QB69)",N,N,0,30.143,,,,,5.72,12559,
" 12562 Briangrazer (1998 SP36)",N,N,0,24.668,,,,,5.61,12562,Briangrazer
" 12583 Buckjean (1999 RC35)",N,N,0,25.76,,,,,5.15,12583,Buckjean
" 12742 Delisle (1992 OF1)",N,N,0,24.965,,,,,5.52,12742,Delisle
" 13035 (1989 UA6)",N,N,0,27.435,,,,,7.93,13035,
" 13244 Dannymeyer (1998 MJ14)",N,N,0,31.63,,,,,5.63,13244,Dannymeyer
" 13249 Marcallen (1998 MD38)",N,N,0,20.818,,,,,4.37,13249,Marcallen
" 13297 (1998 RX)",N,N,0,22.936,,,,,5.77,13297,
" 13561 Kudogou (1992 SB1)",N,N,0,20.216,,,,,5.67,13561,Kudogou
" 13808 Davewilliams (1998 XG24)",N,N,0,22.569,,,,,5.71,13808,Davewilliams
" 13832 (1999 XR13)",N,N,0,37.543,,,,,6.24,13832,
" 13851 (1999 XB94)",N,N,0,23.003,,,,,5.62,13851,
" 13860 Neely (1999 XH143)",N,N,0,26.385,,,,,5.5,13860,Neely
" 14195 (1998 XD51)",N,N,0,21.065,,,,,7.93,14195,
" 14220 Alexgibbs (1999 VE115)",N,N,0,21.031,,,,,4.36,14220,Alexgibbs
" 14274 Landstreet (2000 BL21)",N,N,0,20.659,,,,,5.69,14274,Landstreet
" 14394 (1990 SP15)",N,N,0,21.248,,,,,5.8,14394,
" 14962 Masanoriabe (1996 TL15)",N,N,0,25.708,,,,,5.71,14962,Masanoriabe
" 15066 (1999 AX7)",N,N,0,21.533,,,,,5.63,15066,
" 15102 (2000 AA202)",N,N,0,22.587,,,,,5.82,15102,
" 15136 (2000 EE93)",N,N,0,22.077,,,,,5.81,15136,
" 15153 (2000 FD17)",N,N,0,20.225,,,,,5.46,15153,
" 15161 (2000 FQ48)",N,N,0,35.539,,,,,5.77,15161,
" 15231 Ehdita (1987 RO5)",N,N,0,23.457,,,,,7.83,15231,Ehdita
" 15249 Capodimonte (1989 YB5)",N,N,0,21.370,,,,,5.59,15249,Capodimonte
" 15278 Paquet (1991 PG7)",N,N,0,25.417,,,,,7.97,15278,Paquet
" 15410 (1997 YZ)",N,N,0,22.904,,,,,5.48,15410,
" 15505 (1999 RF56)",N,N,0,24.788,,,,,7.87,15505,
" 15514 (1999 VW24)",N,N,0,24.69,,,,,5.6,15514,
" 15562 (2000 GF48)",N,N,0,29.594,,,,,5.59,15562,
" 15615 (2000 HU1)",N,N,0,22.296,,,,,7.91,15615,
" 15638 (2000 JA65)",N,N,0,32.265,,,,,7.98,15638,
" 16018 (1999 CJ67)",N,N,0,20.892,,,,,4.06,16018,
" 16029 (1999 DQ6)",N,N,0,20.707,,,,,5.58,16029,
" 16035 Sasandford (1999 FX32)",N,N,0,21.532,,,,,4.65,16035,Sasandford
" 16133 (1999 XC100)",N,N,0,25.982,,,,,5.47,16133,
" 16213 (2000 CG85)",N,N,0,20.131,,,,,5.83,16213,
" 16461 (1990 BO)",N,N,0,27.713,,,,,5.69,16461,
" 16467 (1990 FD3)",N,N,0,21.886,,,,,5.57,16467,
" 16583 Oersted (1992 OH2)",N,N,0,22.102,,,,,5.8,16583,Oersted
" 16785 (1997 AL1)",N,N,0,31.056,,,,,5.61,16785,
" 16786 (1997 AT1)",N,N,0,24.595,,,,,5.66,16786,
" 16927 (1998 FX68)",N,N,0,22.595,,,,,7.92,16927,
" 16970 (1998 VV2)",N,N,0,25.310,,,,,7.89,16970,
" 17109 (1999 JF52)",N,N,0,27.04,,,,,4.61,17109,
" 17252 (2000 GJ127)",N,N,0,25.232,,,,,5.53,17252,
" 17297 (3560 P-L)",N,N,0,29.731,,,,,5.65,17297,
" 17305 Caniff (4652 P-L)",N,N,0,25.368,,,,,8,17305,Caniff
" 17428 Charleroi (1989 DL)",N,N,0,30.297,,,,,7.8,17428,Charleroi
" 17445 Avatcha (1989 YC5)",N,N,0,20.495,,,,,5.61,17445,Avatcha
" 17839 (1998 HN95)",N,N,0,20.575,,,,,5.35,17839,
" 17871 (1998 RD58)",N,N,0,23.532,,,,,6.61,17871,
" 17973 (1999 JP51)",N,N,0,22.922,,,,,4.67,17973,
" 18052 (1999 RV199)",N,N,0,20.311,,,,,5.79,18052,
" 18150 Lopez-Moreno (2000 OC60)",N,N,0,21.467,,,,,6.38,18150,Lopez-Moreno
" 18169 Amaldi (2000 QF)",N,N,0,23.311,,,,,5.61,18169,Amaldi
" 18219 (6260 P-L)",N,N,0,22.669,,,,,5.69,18219,
" 18331 (1987 DQ6)",N,N,0,27.533,,,,,5.47,18331,
" 18399 Tentoumushi (1992 WK1)",N,N,0,22.987,,,,,5.6,18399,Tentoumushi
" 18488 (1996 AY3)",N,N,0,24.637,,,,,5.66,18488,
" 18827 (1999 NA26)",N,N,0,20.607,,,,,5.34,18827,
" 18895 (2000 GJ108)",N,N,0,22.297,,,,,5.75,18895,
" 18996 Torasan (2000 RR53)",N,N,0,22.734,,,,,5.75,18996,Torasan
" 19028 (2000 SC165)",N,N,0,20.600,,,,,5.54,19028,
" 19615 (1999 OB3)",N,N,0,21.986,,,,,5.16,19615,
" 19646 (1999 RF102)",N,N,0,22.716,,,,,5.26,19646,
" 19737 (2000 AQ51)",N,N,0,47.698,,,,,5.39,19737,
" 19752 (2000 CH67)",N,N,0,23.357,,,,,8,19752,
" 20001 Marinakoren (1991 CM)",N,N,0,22.717,,,,,5.49,20001,Marinakoren
